Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {7,24,42,59} accuracy is 93.6%
Using feature(s) {7,24,43,59} accuracy is 93.8%
Using feature(s) {7,24,44,59} accuracy is 94.8%
Using feature(s) {7,24,45,59} accuracy is 94.1%
Using feature(s) {7,24,46,59} accuracy is 94.5%
Using feature(s) {7,24,47,59} accuracy is 93.7%
Using feature(s) {7,24,48,59} accuracy is 93.8%
Using feature(s) {7,24,49,59} accuracy is 93.6%
Using feature(s) {7,24,50,59} accuracy is 94.3%
Using feature(s) {7,24,51,59} accuracy is 93.7%
Using feature(s) {7,24,52,59} accuracy is 93.7%
Using feature(s) {7,24,53,59} accuracy is 93.1%
Using feature(s) {7,24,54,59} accuracy is 94.5%
Using feature(s) {7,24,55,59} accuracy is 93.5%
Using feature(s) {7,24,56,59} accuracy is 93.4%
Using feature(s) {7,24,57,59} accuracy is 93.6%
Using feature(s) {7,24,58,59} accuracy is 93.4%
Using feature(s) {7,24,59,60} accuracy is 94.2%
Using feature(s) {7,24,59,61} accuracy is 94.1%
Using feature(s) {7,24,59,62} accuracy is 93.9%
Using feature(s) {7,24,59,63} accuracy is 93.3%
Using feature(s) {7,24,59,64} accuracy is 93.0%

Feature set {7,24,44,59} was best, accuracy is 94.8%

Using feature(s) {1,7,24,44,59} accuracy is 90.0%
Using feature(s) {2,7,24,44,59} accuracy is 90.3%
Using feature(s) {3,7,24,44,59} accuracy is 90.8%
Using feature(s) {4,7,24,44,59} accuracy is 89.9%
Using feature(s) {5,7,24,44,59} accuracy is 92.0%
Using feature(s) {6,7,24,44,59} accuracy is 91.4%
Using feature(s) {7,8,24,44,59} accuracy is 90.8%
Using feature(s) {7,9,24,44,59} accuracy is 91.3%
Using feature(s) {7,10,24,44,59} accuracy is 90.8%
Using feature(s) {7,11,24,44,59} accuracy is 91.3%
Using feature(s) {7,12,24,44,59} accuracy is 90.2%
Using feature(s) {7,13,24,44,59} accuracy is 89.9%
Using feature(s) {7,14,24,44,59} accuracy is 91.5%
Using feature(s) {7,15,24,44,59} accuracy is 90.8%
Using feature(s) {7,16,24,44,59} accuracy is 91.0%
Using feature(s) {7,17,24,44,59} accuracy is 90.9%
Using feature(s) {7,18,24,44,59} accuracy is 91.2%
Using feature(s) {7,19,24,44,59} accuracy is 90.3%
Using feature(s) {7,20,24,44,59} accuracy is 90.7%
Using feature(s) {7,21,24,44,59} accuracy is 91.6%
Using feature(s) {7,22,24,44,59} accuracy is 91.7%
Using feature(s) {7,23,24,44,59} accuracy is 90.6%
Using feature(s) {7,24,25,44,59} accuracy is 91.0%
Using feature(s) {7,24,26,44,59} accuracy is 90.6%
